OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUN,REMARKS,created_user,created_date,last_edited_user,last_edited_date,ROAD_SEC_CLASS,SEC_ID,SEC_LENGTH,ROUTE_NO,MaxBRHT,MaxPierHT,COMMENTS,ACTUAL_YR_CLEAN
88,Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,Kalinga (Lone District),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd,4372,B00951LZ,Makilo Br.,15,Bailey,Temporary,Year Known,1969,Fair,2,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.062893,River/Waterway (fresh water),Bugnay,Tinglayan,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S05932LZ,0,204,17.6,0.0,Existing bridge is a temporary bailey bridge,1969
196,Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Makati (Second District),Edsa-Magallanes Flyover,108,B04316LZ,Edsa-Magallanes Flyover Br.,52,Concrete,Permanent,Year Known,1975,Fair,2,3,2,14.0,10,0.0,0.0,0.0,0.0,0.0,0,0.16092,Not Specified,,,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S03486LZ,0,1,0.0,6.6,"Bridge subject for Strengthening, Repair of noted defects",1975
677,Luzon,Region II,Batanes,Batanes District Engineering Office,Batanes (Lone District),Basco-Mahatao-Ivana-Uyugan-Imnajbu Rd,21354,B00023BN,Song-Song Br.,12,Concrete,Permanent,Year Known,2019,Good,2,0,1,0.0,50,0.0,0.0,0.0,0.0,0.0,2,0.0,Not Specified,Kayvaluganan,Uyugan,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00016BN,0,0,3.33,0.0,Bridge is in good condition. Newly constructed.,2019
681,Luzon,National Capital Region,Metro Manila,Quezon City 1st District Engineering Office,Quezon City (Sixth District),Tandang Sora Ave,3511,B02354LZ,Pasong Tamo Br. 1,30,Concrete,Permanent,Year Known,1965,Fair,2,1,2,90.0,45,20.0,0.0,0.0,0.8,0.8,2,0.067797,River/Waterway (fresh water),Barangay Pasong Tamo,,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S05491LZ,0,0,4.6,0.0,On-going widening at both sides,1965
1098,Luzon,Region II,Cagayan,Cagayan 2nd District Engineering Office,Cagayan (Second District),Manila North Rd,83558,B04772LZ,Guiddam Br.,66,Concrete,Permanent,Year Known,2016,Fair,2,1,2,9.6,45,180.0,0.0,0.0,0.7,0.7,2,0.038314,River/Waterway (fresh water),Guiddam,Abulug,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00636LZ,0,1,12.1,9.82,Depression of Bridge approach of Abutment A and B,2016
1704,Luzon,Region IV-A,Laguna,Laguna 1st District Engineering Office,Laguna (Fourth District),Cavinti-Caliraya Rd,989,B03383LZ,Cavinti Br. 2,40,Steel,Permanent,Year Known,2008,Good,2,0,1,0.0,49,0.0,0.0,0.0,0.0,0.0,2,0.018868,Not Specified,,,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S01674LZ,0,0,0.0,0.0,The bridge is in Good condition with minor scaling on concrete  deck.,2008
1997,Luzon,Region IV-A,Cavite,Cavite 1st District Engineering Office,Cavite (Sixth District),"Juanito R. Remulla, Sr. Rd",6500,B04759LZ,Mag-Asawang Layon Br. (WB),63,Concrete,Permanent,Year Known,2017,Good,2,2,3,5.61,48,15.0,0.0,0.0,1.03,0.58,0,0.0,River/Waterway (fresh water),San Agustin,Trece Martires City,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S01913LZ,0,65,21.4,9.5,Overall Bridge Condition is Good.,2017
2055,Luzon,Region IV-A,Batangas,Batangas 3rd District Engineering Office,Batangas (Third District),Talisay-Laurel-Agoncillo Rd,4001,B04637LZ,Caloocan Br.,24,Concrete,Permanent,Year Known,1960,Good,2,0,1,0.0,49,0.0,0.0,0.0,0.0,0.0,4,0.018868,Not Specified,Caloocan,Talisay,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S01928LZ,0,0,0.0,0.0,MINOR REPAIRS ON SPAN,1960
2221,Luzon,Region II,Nueva Vizcaya,Nueva Vizcaya 2nd District Engineering Office,Nueva Vizcaya (Lone District),Papaya-Malabing-Wangal-Binugawan-Tadji-Runruno Rd,9989,B04980LZ,Tadji Br.,101,Concrete,Permanent,Year Known,2018,Good,2,3,4,9.5,49,0.0,0.0,0.0,0.7,0.7,0,0.0,River/Waterway (fresh water),Tadji,Kasibu,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00881LZ,0,0,6.7,6.7,Newly Constructed Bridge Bridge is in good condition,2018
2809,Mindanao,Region IX,Zamboanga Sibugay,Zamboanga Sibugay 1st District Engineering Office,Zamboanga Sibugay (First District),Jct Imelda-Alicia Rd,6179,B01973MN,Subing-Subing Br.,121,Concrete,Permanent,Year Known,2016,Good,2,8,9,0.0,50,0.0,0.0,0.0,0.76,0.76,2,0.0,River/Waterway (fresh water),Guintolan,Payao,,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S01114MN,0,0,6.75,6.67,New Bridge,2016
